nome,ari,nmi,homogeneidade,completude
KMeans (k=4),-0.0026709137486170017,0.011770806222504041,0.01241755285043955,0.011188093827929195
EM - Gaussian Mixture (k=4),0.004039771289052261,0.007999734647019335,0.008529021534672755,0.007532301385093952
"DBSCAN (eps=19.90, min_samples=10)",-0.009807012332377579,0.07696966957890194,0.11461789608562266,0.05793870257771251
